"x","y"
"1692316800000","1007438.471284616"
"1692403200000","663964.7805194064"
"1692489600000","603806.4123802828"
"1692576000000","1018065.9101324095"
"1692662400000","1052524.2971763501"
"1692748800000","1064131.316912779"
"1692835200000","860217.3442902141"
"1692921600000","782152.4920206256"
"1693008000000","578582.579021297"
"1693094400000","787372.4156331917"
"1693180800000","906625.1624644278"
"1693267200000","996346.5106168978"
"1693353600000","996724.5943991679"
"1693440000000","819757.2092510327"
"1693526400000","928169.1347861827"
"1693612800000","606921.5389349965"
"1693699200000","485496.14223332715"
"1693785600000","647188.8686016449"
"1693872000000","710722.9375608144"
"1693958400000","697201.7018977725"
"1694044800000","696458.6362341515"
"1694131200000","644500.1684341887"
"1694217600000","551899.9279059257"
"1694304000000","637600.8716637564"
"1694390400000","735758.9171780561"
"1694476800000","819176.0997951363"
"1694563200000","674613.8558888587"
"1694649600000","766395.1866184828"
"1694736000000","862601.821892855"
"1694822400000","646453.4051869381"
"1694908800000","579312.6680833617"
"1694995200000","786799.8709506921"
"1695081600000","857700.7318293995"
"1695168000000","934869.1977800953"
"1695254400000","713940.1414752995"
"1695340800000","641040.2709766598"
"1695427200000","475221.1890916567"
"1695513600000","484248.7905176981"
"1695600000000","817480.6791258983"
"1695686400000","663249.4261004181"
"1695772800000","761678.5738837138"
"1695859200000","811180.6621705698"
"1695945600000","889802.4018919835"
"1696032000000","653579.8884727863"
"1696118400000","555174.5091978626"
"1696204800000","1106424.6598192258"
"1696291200000","839377.0868773581"
"1696377600000","982241.5967700147"
"1696464000000","1075503.1105322603"
"1696550400000","1060461.4885922582"
"1696636800000","808983.5326528918"
"1696723200000","633374.1145192062"
"1696809600000","749422.1336482924"
"1696896000000","832238.8224496931"
"1696982400000","875875.9047509906"
"1697068800000","760762.37414114"
"1697155200000","648945.8177091569"
"1697241600000","723954.052875498"
"1697328000000","521404.4774855384"
"1697414400000","980831.3438038469"
"1697500800000","871217.822683054"
"1697587200000","824492.3992597901"
"1697673600000","863816.6159477646"
"1697760000000","1023733.3276250362"
"1697846400000","635750.1866666463"
"1697932800000","635943.4782376734"
"1698019200000","1143455.3357889277"
"1698105600000","1449118.6271524176"
"1698192000000","1043657.6191705395"
"1698278400000","930192.4649175463"
"1698364800000","866540.942920581"
"1698451200000","624077.5307340743"
"1698537600000","632022.7348626802"
"1698624000000","971381.7090326692"
"1698710400000","794305.524227686"
"1698796800000","841010.4788962676"
"1698883200000","841099.2868209039"
"1698969600000","844764.9940459207"
"1699056000000","620931.6840370293"
"1699142400000","548298.5720350201"
"1699228800000","779204.661944023"
"1699315200000","794109.7030101281"
"1699401600000","860092.4473477625"
"1699488000000","1099687.9005164949"
"1699574400000","842257.7705804303"
"1699660800000","691936.2820149093"
"1699747200000","615510.886602048"
"1699833600000","787410.0338639724"
"1699920000000","940829.7244883642"
"1700006400000","830435.4208050476"
"1700092800000","870584.592796781"
"1700179200000","753044.601033206"
"1700265600000","489096.77649118187"
"1700352000000","563125.2194799593"
"1700438400000","935653.867484618"
"1700524800000","961211.3931708874"
"1700611200000","926218.3601648697"
"1700697600000","718858.501290789"
"1700784000000","893910.9051773447"
"1700870400000","644465.7944047297"
"1700956800000","673446.2799108957"
"1701043200000","851459.6800966004"
"1701129600000","818304.8082198857"
"1701216000000","877558.2599001294"
"1701302400000","892629.060238434"
"1701388800000","1034559.7587734926"
"1701475200000","752228.6714345356"
"1701561600000","735900.05887303"
"1701648000000","1103651.3883924994"
"1701734400000","981031.4626103486"
"1701820800000","1015781.2034854849"
"1701907200000","883608.2120218133"
"1701993600000","988756.835160918"
"1702080000000","620138.3338936784"
"1702166400000","542429.625018812"
"1702252800000","989249.9823570077"
"1702339200000","933081.9649746428"
"1702425600000","843132.1754219589"
"1702512000000","832528.1601530511"
"1702598400000","762714.3224830151"
"1702684800000","562623.870095735"
"1702771200000","439251.4840201639"
"1702857600000","761507.3940890749"
"1702944000000","739339.040509857"
"1703030400000","818436.5928003542"
"1703116800000","739898.9721038195"
"1703203200000","841910.2517605287"
"1703289600000","455025.33540234866"
"1703376000000","556013.3628918806"
"1703462400000","483294.8998189989"
"1703548800000","792402.6290276292"
"1703635200000","769805.8112292612"
"1703721600000","699797.5575179269"
"1703808000000","814091.9117819318"
"1703894400000","623064.0192605776"
"1703980800000","576558.8346982774"
"1704067200000","531084.150002183"
"1704153600000","849250.0971626521"
"1704240000000","859376.1049896787"
"1704326400000","1054460.9662835132"
"1704412800000","786108.938876529"
"1704499200000","562957.5240340626"
"1704585600000","574159.1902165897"
"1704672000000","847723.8606858483"
"1704758400000","1141429.2030418406"
"1704844800000","1314482.10716057"
"1704931200000","1151912.7137586211"
"1705017600000","1449244.7128505434"
"1705104000000","710384.3723402618"
"1705190400000","505892.7215943405"
"1705276800000","707262.5146202807"
"1705363200000","921548.5755652138"
"1705449600000","1212120.6624939681"
"1705536000000","1135734.6767541606"
"1705622400000","943842.3750005119"
"1705708800000","531929.0963277022"
"1705795200000","569630.8010361745"
"1705881600000","1101199.699350643"
"1705968000000","975329.3845440863"
"1706054400000","1109813.94372324"
"1706140800000","1011347.0135909269"
"1706227200000","1068360.6572443764"
"1706313600000","644834.4978352997"
"1706400000000","453363.43079407635"
"1706486400000","914777.7265904123"
"1706572800000","1131865.1352119178"
"1706659200000","1364459.5450457225"
"1706745600000","979837.4399123548"
"1706832000000","855293.3445844336"
"1706918400000","598002.5880065892"
"1707004800000","543747.42923018"
"1707091200000","848422.4388140986"
"1707177600000","931934.0951972706"
"1707264000000","845276.0410852857"
"1707350400000","960367.871170754"
"1707436800000","1044842.7979372651"
"1707523200000","628824.7202395606"
"1707609600000","637272.3414517256"
"1707696000000","972033.8426406131"
"1707782400000","1073805.9426457302"
"1707868800000","1231205.9039881432"
"1707955200000","977279.7990115773"
"1708041600000","935832.0518549574"
"1708128000000","559779.518774678"
"1708214400000","575882.3368064534"
"1708300800000","829201.649221486"
"1708387200000","999200.0462741652"
"1708473600000","1026772.2064864694"
"1708560000000","915552.6325839016"
"1708646400000","800371.3236551008"
"1708732800000","533906.6236928316"
"1708819200000","540581.5104896213"
"1708905600000","971510.2018384471"
"1708992000000","1246634.4317713974"
"1709078400000","1541489.9500146739"
"1709164800000","1357774.0425646154"
"1709251200000","1184688.5218418953"
"1709337600000","597338.5521600866"
"1709424000000","637045.2390227353"
"1709510400000","1219310.001088403"
"1709596800000","1677292.222257344"
"1709683200000","1421341.4847051913"
"1709769600000","1244924.7770505026"
"1709856000000","1202203.516032886"
"1709942400000","678901.1819126946"
"1710028800000","724387.0443092716"
"1710115200000","1357921.6182553242"
"1710201600000","1382859.4734645602"
"1710288000000","1627008.3209837596"
"1710374400000","1276449.595494698"
"1710460800000","1154363.7750182091"
"1710547200000","633026.2899487747"
"1710633600000","685357.2176875502"
"1710720000000","961901.2760127294"
"1710806400000","1101740.7936961667"
"1710892800000","1108934.467963165"
"1710979200000","871242.750582892"
"1711065600000","880810.1617420147"
"1711152000000","716711.751343478"
"1711238400000","513831.8262454762"
"1711324800000","1250324.7156639514"
"1711411200000","1161761.7147320576"
"1711497600000","986508.1232951462"
"1711584000000","973794.8752496778"
"1711670400000","923032.0879918453"
"1711756800000","521174.1482708109"
"1711843200000","456585.3620824828"
"1711929600000","1263750.226032886"
"1712016000000","1089895.5793250247"
"1712102400000","909993.117184391"
"1712188800000","864699.4180967722"
"1712275200000","962527.0773917839"
"1712361600000","598971.9242774997"
"1712448000000","554943.0491644463"
"1712534400000","982666.1872262182"
"1712620800000","837041.0116765995"
"1712707200000","773781.9075290214"
"1712793600000","814237.4967663351"
"1712880000000","798696.518338781"
"1712966400000","639675.4301236746"
"1713052800000","671643.7468091047"
"1713139200000","938408.6540706649"
"1713225600000","1028539.245072605"
"1713312000000","997095.9200815054"
"1713398400000","989107.8511690224"
"1713484800000","811798.4458473901"
"1713571200000","385320.26131779834"
"1713657600000","478617.15256393916"
"1713744000000","694754.651477748"
"1713830400000","734569.3476622122"
"1713916800000","786167.0132848818"
"1714003200000","623466.7653213254"
"1714089600000","775414.5050077859"
"1714176000000","556508.2032154301"
